"Story","Title","Result","Date","Stability","Duration (s)"
"Get batch","MSVC-168 verify GET request for batches","SUCCESS","2019-10-03T13:39:33.191+03:00[Europe/Kiev]","0.0","2.7"
"Post batch order","MSVC-151 verify POST order request for batches","SUCCESS","2019-10-03T13:39:35.929+03:00[Europe/Kiev]","0.0","1.03"
